PartNumber,PartDescription,Brand,Size,BoltPattern,Offset,MSRP_USD,MAP_USD,Finish,TIS_Comparable_MAP,Price_Difference,Match_Type
D10017908445,ZEPHYR BL 17X9 6X5.5 106.1 QL -15,Fuel 1PC,17X9,6X5.5,-15,470.00,470.00 ,Matte Black,398.00,72.00,exact
D10217908445,ZEPHYR BL 17X9 6X5.5 106.1 MC -15,Fuel 1PC,17X9,6X5.5,-15,510.00,510.00 ,Matte Black,398.00,112.00,exact
D11417907536,COVERT BL 17X9 5X5.0 71.5 BD -38,Fuel 1PC,17X9,5X5.0,-38,470.00,470.00 ,Matte Black,398.00,72.00,exact
D11417907545,COVERT BL 17X9 5X5.0 71.5 BD -15,Fuel 1PC,17X9,5X5.0,-15,470.00,470.00 ,Matte Black,398.00,72.00,exact
D265242017-43L,RENEGADE 24X12 8X170 125.1 NB -43 L L,Fuel 1PC,24X12,8X170,-43,825.00,825.00 ,Matte Black,722.10,102.90,size-avg
D265242017-43R,RENEGADE 24X12 8X170 125.1 NB -43 R R,Fuel 1PC,24X12,8X170,-43,825.00,825.00 ,Matte Black,722.10,102.90,size-avg
D406208292,CATALYST DRW 20X8.25 8X200 +105 MB-GB DF,Fuel 1PC,20X8.25,8X200,105,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D40620829235,CATALYST DRW 20X8.25 8X200 -202 MB-GB DR,Fuel 1PC,20X8.25,8X200,-202,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D406208293,CATALYST DRW 20X8.25 8X210 +105 MB-GB DF,Fuel 1PC,20X8.25,8X210,105,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D40620829335,CATALYST DRW 20X8.25 8X210 -221 MB-GB DR,Fuel 1PC,20X8.25,8X210,-221,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D406228292,CATALYST DRW 22X8.25 8X200 +105 MB-GB DF,Fuel 1PC,22X8.25,8X200,105,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D40622829235,CATALYST DRW 22X8.25 8X200 -202 MB-GB DR,Fuel 1PC,22X8.25,8X200,-202,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D406228293,CATALYST DRW 22X8.25 8X210 +105 MB-GB DF,Fuel 1PC,22X8.25,8X210,105,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D40622829335,CATALYST DRW 22X8.25 8X210 -221 MB-GB DR,Fuel 1PC,22X8.25,8X210,-221,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D406248292,CATALYST DRW 24X8.25 8X200 +105 MB-GB DF,Fuel 1PC,24X8.25,8X200,105,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D40624829235,CATALYST DRW 24X8.25 8X200 -202 MB-GB DR,Fuel 1PC,24X8.25,8X200,-202,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D406248293,CATALYST DRW 24X8.25 8X210 +105 MB-GB DF,Fuel 1PC,24X8.25,8X210,105,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D40624829335,CATALYST DRW 24X8.25 8X210 -221 MB-GB DR,Fuel 1PC,24X8.25,8X210,-221,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D407208292,CATALYST DRW 20X8.25 8X200 +105 CH-GB DF,Fuel 1PC,20X8.25,8X200,105,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D40720829235,CATALYST DRW 20X8.25 8X200 -202 CH-GB DR,Fuel 1PC,20X8.25,8X200,-202,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D407208293,CATALYST DRW 20X8.25 8X210 +105 CH-GB DF,Fuel 1PC,20X8.25,8X210,105,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D40720829335,CATALYST DRW 20X8.25 8X210 -221 CH-GB DR,Fuel 1PC,20X8.25,8X210,-221,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D407228292,CATALYST DRW 22X8.25 8X200 +105 CH-GB DF,Fuel 1PC,22X8.25,8X200,105,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
D40722829235,CATALYST DRW 22X8.25 8X200 -202 CH-GB DR,Fuel 1PC,22X8.25,8X200,-202,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
D407228293,CATALYST DRW 22X8.25 8X210 +105 CH-GB DF,Fuel 1PC,22X8.25,8X210,105,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
